filepath,label,language,label_name
C:\Users\Jamal Khan\Downloads\Method2\data\en\cloned\cloned.wav,1,en,cloned
C:\Users\Jamal Khan\Downloads\Method2\data\en\cloned\cloned_transfer.wav,1,en,cloned
C:\Users\Jamal Khan\Downloads\Method2\data\en\cloned\replay.wav,1,en,cloned
C:\Users\Jamal Khan\Downloads\Method2\data\en\cloned\voice_conversion.wav,1,en,cloned
C:\Users\Jamal Khan\Downloads\Method2\data\en\genuine\genuine.wav,0,en,genuine
C:\Users\Jamal Khan\Downloads\Method2\data\en-IN\cloned\en-IN_cloned.wav,1,en-IN,cloned
C:\Users\Jamal Khan\Downloads\Method2\data\en-IN\genuine\en-IN_genuine.wav,0,en-IN,genuine
C:\Users\Jamal Khan\Downloads\Method2\data\hi\cloned\hi_cloned.wav,1,hi,cloned
C:\Users\Jamal Khan\Downloads\Method2\data\hi\genuine\hi_genuine.wav,0,hi,genuine
C:\Users\Jamal Khan\Downloads\Method2\data\kn\cloned\kn_cloned.wav,1,kn,cloned
C:\Users\Jamal Khan\Downloads\Method2\data\kn\genuine\kn_genuine.wav,0,kn,genuine
C:\Users\Jamal Khan\Downloads\Method2\data\ta\cloned\ta_cloned.wav,1,ta,cloned
C:\Users\Jamal Khan\Downloads\Method2\data\ta\genuine\ta_genuine.wav,0,ta,genuine
C:\Users\Jamal Khan\Downloads\Method2\data\te\cloned\te_cloned.wav,1,te,cloned
C:\Users\Jamal Khan\Downloads\Method2\data\te\genuine\te_genuine.wav,0,te,genuine
